number,value,datetime_start,datetime_complete,duration,params_algo.apex.apex_lookahead_weight,params_algo.apex.apex_switch_hysteresis_factor,params_algo.apex.apex_switch_threshold_rad,params_algo.apex.lookahead_sensitivity,params_algo.apex.max_lookahead_m,params_algo.apex.max_opposite_dist_error_m,params_algo.apex.median_window,params_algo.apex.min_forward_m,params_algo.apex.min_lookahead_m,params_algo.apex.min_points,params_algo.apex.min_range_jump_m,params_algo.apex.side_lookahead_center_deg,params_algo.apex.side_lookahead_fov_deg,params_algo.apex.wall_clearance_m,user_attrs_apex_stability_product,user_attrs_avg_speed_ms,user_attrs_completed_laps,user_attrs_crashed,user_attrs_error,user_attrs_heading_rms_rad,user_attrs_lap_time_s,user_attrs_lateral_rms_m,user_attrs_max_speed_ms,user_attrs_off_track_count,user_attrs_progress_m,user_attrs_progress_ratio,user_attrs_score,user_attrs_seeded_baseline,user_attrs_status,user_attrs_steering_rate_rms,user_attrs_throttle_rate_rms,user_attrs_ticks,user_attrs_unavailable_fraction,system_attrs_fixed_params,state
0,1534.8681264465752,2026-07-01 13:00:09.057439,2026-07-01 13:00:09.766258,0 days 00:00:00.708819,0.75,1.2999999523162842,0.07999999821186066,3.5,6.0,0.20000000298023224,3,0.11999999731779099,0.6000000238418579,8,0.25,90.0,60.0,0.07999999821186066,0.10399999386072167,1.3637014627456665,0,True,,0.13745345175266266,0.0,0.09449842572212219,1.911807894706726,1,6.51107931137085,0.06740386039018631,1534.8681264465752,True,crashed,5.167282581329346,18.321819305419922,492,0.0,"{'algo.apex.median_window': 3.0, 'algo.apex.min_points': 8.0, 'algo.apex.min_forward_m': 0.11999999731779099, 'algo.apex.min_range_jump_m': 0.25, 'algo.apex.max_opposite_dist_error_m': 0.20000000298023224, 'algo.apex.wall_clearance_m': 0.07999999821186066, 'algo.apex.apex_switch_threshold_rad': 0.07999999821186066, 'algo.apex.apex_switch_hysteresis_factor': 1.2999999523162842, 'algo.apex.max_lookahead_m': 6.0, 'algo.apex.min_lookahead_m': 0.6000000238418579, 'algo.apex.lookahead_sensitivity': 3.5, 'algo.apex.side_lookahead_fov_deg': 60.0, 'algo.apex.side_lookahead_center_deg': 90.0, 'algo.apex.apex_lookahead_weight': 0.75}",COMPLETE
1,1567.6284443731472,2026-07-01 13:00:09.783182,2026-07-01 13:00:14.682978,0 days 00:00:04.899796,0.21233911067827616,8.795585311974417,0.182475054359405,0.3087674144370367,12.421185223120967,0.022856175997064767,6,0.7319939418114051,3.569555631200623,122,0.23852347578447078,119.91983767203796,116.69008373781938,0.15599452033620265,1.604974907925316,0.19715853035449982,0,True,,0.32074129581451416,0.0,0.09139398485422134,0.23262909054756165,1,7.278913974761963,0.07535263895988464,1567.6284443731472,,crashed,0.0,3.5508956909179688,3696,0.0,,COMPLETE
2,1622.6047479399642,2026-07-01 13:00:14.692444,2026-07-01 13:00:14.871145,0 days 00:00:00.178701,0.5142344384136116,2.2554447458683766,1.9221926126273576,6.841049763255539,6.550748322169145,0.09860942908083908,3,0.3042422429595377,1.8951730321390896,26,0.16124278458562616,62.97064039425238,96.3693557532315,0.2912291401980419,4.335399228697382,0.44333815574645996,0,True,,0.3286151587963104,0.0,0.18470852077007294,0.9213891625404358,1,0.5063756108283997,0.005242092069238424,1622.6047479399642,,crashed,0.19969327747821808,25.85306739807129,147,0.0,,COMPLETE
3,1624.9791018662606,2026-07-01 13:00:14.881022,2026-07-01 13:00:15.139055,0 days 00:00:00.258033,0.4951769101112702,8.275576133048151,3.0336225855962486,10.263495397682354,6.787661614294043,0.014115155493448345,9,0.6075448519014384,0.578593358631281,9,0.024682044079890133,55.983441136030095,58.41677431135614,0.9488855372533332,25.10497466603614,0.3990439176559448,0,True,,0.6142067909240723,0.0,0.1893175095319748,0.9158236384391785,1,0.490875244140625,0.005081628914922476,1624.9791018662606,,crashed,6.479160308837891,21.654348373413086,220,0.0,,COMPLETE
4,1615.0733808278965,2026-07-01 13:00:15.148671,2026-07-01 13:00:16.322868,0 days 00:00:01.174197,0.9218742350231168,2.6636900997297435,1.7175410450218036,14.092484123462837,19.422107927526614,0.052150266974116635,1,0.2587799816000169,3.8981508344694618,117,0.33456742136968215,98.81099809299766,108.43100854704137,0.5200680211778108,4.574997077504056,0.3315370976924896,0,True,,0.6738505363464355,0.0,0.15675437450408936,0.9659643769264221,1,1.7959867715835571,0.018592379987239838,1615.0733808278965,,crashed,9.307735443115234,16.526708602905273,1235,0.0,,COMPLETE
5,1637.8994066996277,2026-07-01 13:00:16.331614,2026-07-01 13:00:16.523110,0 days 00:00:00.191496,0.9868869366005173,4.210779940242304,2.603555742956542,2.11386337462144,6.337755684060235,0.07840758945457352,2,0.045227288910538066,2.7592108074754176,28,0.05605248221933019,51.709557931179376,98.24166788294437,0.2713490317738959,10.963000295744056,0.23511092364788055,0,True,,0.5860510468482971,0.0,0.184609517455101,0.35108470916748047,1,0.033336639404296875,0.0003451069351285696,1637.8994066996277,,crashed,0.0,16.459566116333008,112,0.0,,COMPLETE
6,1563.866488567661,2026-07-01 13:00:16.534204,2026-07-01 13:00:17.195185,0 days 00:00:00.660981,0.06355835028602363,1.6664018656068134,2.423017322506818,12.946551388133903,7.81084884234118,0.4231554618260077,12,0.005522117123602399,0.6677583916731357,28,0.7523175743547011,74.78082223673843,78.56279395103137,0.7290071680409873,4.037720586622987,0.9969000816345215,0,True,,0.41635653376579285,0.0,0.10195993632078171,1.9229973554611206,1,4.571260452270508,0.04732251167297363,1563.866488567661,,crashed,14.297877311706543,18.479394912719727,470,0.0,,COMPLETE
7,1617.5427105459348,2026-07-01 13:00:17.206554,2026-07-01 13:00:17.403218,0 days 00:00:00.196664,0.42754101835854963,7.419203085006955,0.37571641490664104,11.564507699318415,15.454915923721051,1.1002797831998592,5,0.7296061783380641,2.8502582680905317,44,0.2931155546232917,92.04595464437946,64.31751560008298,0.4722149251619493,2.787516384563104,0.4942309558391571,0,True,,0.29546016454696655,0.0,0.18738846480846405,1.185389757156372,1,0.751480758190155,0.00777946412563324,1617.5427105459348,,crashed,0.4505079686641693,21.55542755126953,173,0.0,,COMPLETE
8,1619.7035838174297,2026-07-01 13:00:17.412351,2026-07-01 13:00:17.603059,0 days 00:00:00.190708,0.16122128725400442,3.2436300623398746,2.851204246472591,3.431972482374337,8.797275537676965,0.052886221764915045,1,0.03142918568673425,3.8022005788609388,17,0.291339550528019,71.07763076223912,18.46779008116723,0.5085706911647028,9.248251807729606,0.47325316071510315,0,True,,0.3066220283508301,0.0,0.18550324440002441,0.9757484197616577,1,0.6429474949836731,0.006655908655375242,1619.7035838174297,,crashed,0.1591002494096756,22.76314353942871,162,0.0,,COMPLETE
9,1617.5792915396075,2026-07-01 13:00:17.613493,2026-07-01 13:00:18.835946,0 days 00:00:01.222453,0.4271077886262563,5.854080177240856,2.8040568705815665,4.770052124577958,16.341362948117187,0.7067625933120903,14,0.6334037565104235,4.490847369625117,105,1.0121781503479923,65.51416462877475,22.105711698044445,0.18657005888603584,16.41517374192758,0.1847563236951828,0,True,,0.22592531144618988,0.0,0.1161259189248085,0.22257953882217407,1,2.2661831378936768,0.023459935560822487,1617.5792915396075,,crashed,2.540316581726074,7.92205810546875,1329,0.0,,COMPLETE
